name,Urban area burned (square meters),Buffer type,Time since fire ignition (hours)
Tubbs_urban_to_TL2_nb_buffer633_1009_2100,4300955.027,NB3 small,36
Tubbs_urban_to_TL2_nb_buffer633_1009_2200,4991758.048,NB3 small,36
Tubbs_urban_to_TL2_nb_buffer633_1009_2300,8179938.107,NB3 small,36
Tubbs_urban_to_TL2_nb_buffer633_1009_2400,5478460.45,NB3 small,39
Tubbs_urban_to_TL2_nb_buffer633_1010_0100,8398935.691,NB3 small,39
Tubbs_urban_to_TL2_nb_buffer633_1010_0200,7460650.3,NB3 small,39
Tubbs_urban_to_TL2_banana_buffer633_1009_0600,3810.25609,Banana medium,21
Tubbs_urban_to_TL2_banana_buffer633_1009_0700,0,Banana medium,21
Tubbs_urban_to_TL2_banana_buffer633_1009_0800,0,Banana medium,21
Tubbs_urban_to_TL2_banana_buffer633_1009_0900,797.664131,Banana medium,24
Tubbs_urban_to_TL2_banana_buffer633_1009_1000,16903.98654,Banana medium,24
Tubbs_urban_to_TL2_banana_buffer633_1009_1100,1079780.635,Banana medium,24
Tubbs_urban_to_TL2_banana_buffer633_1009_1200,169630.6759,Banana medium,27
Tubbs_urban_to_TL2_banana_buffer633_1009_1300,1818232.562,Banana medium,27
Tubbs_urban_to_TL2_banana_buffer633_1009_1400,2539610.658,Banana medium,27
Tubbs_urban_to_TL2_banana_buffer633_1009_1500,3074857.974,Banana medium,30
Tubbs_urban_to_TL2_banana_buffer633_1009_1600,4153742.089,Banana medium,30
Tubbs_urban_to_TL2_banana_buffer633_1009_1700,4792513.759,Banana medium,30
Tubbs_urban_to_TL2_banana_buffer633_1009_1800,3640787.739,Banana medium,33
Tubbs_urban_to_TL2_banana_buffer633_1009_1900,3678193.42,Banana medium,33
Tubbs_urban_to_TL2_banana_buffer633_1009_2000,4726541.314,Banana medium,33
Tubbs_urban_to_TL2_banana_buffer633_1009_2100,4337471.247,Banana medium,36
Tubbs_urban_to_TL2_banana_buffer633_1009_2200,6029744.673,Banana medium,36
Tubbs_urban_to_TL2_banana_buffer633_1009_2300,10258628.62,Banana medium,36
Tubbs_urban_to_TL2_banana_buffer633_1009_2400,9523822.557,Banana medium,39
Tubbs_urban_to_TL2_banana_buffer633_1010_0100,6414253.209,Banana medium,39
Tubbs_urban_to_TL2_banana_buffer633_1010_0200,7322580.143,Banana medium,39
Tubbs_urban_to_TL2_banana_buffer1280_1009_0600,0,Banana very large,21
Tubbs_urban_to_TL2_banana_buffer1280_1009_0700,0,Banana very large,21
Tubbs_urban_to_TL2_banana_buffer1280_1009_0800,0,Banana very large,21
Tubbs_urban_to_TL2_banana_buffer1280_1009_0900,0,Banana very large,24
Tubbs_urban_to_TL2_banana_buffer1280_1009_1000,0,Banana very large,24
Tubbs_urban_to_TL2_banana_buffer1280_1009_1100,0,Banana very large,24
Tubbs_urban_to_TL2_banana_buffer1280_1009_1200,0,Banana very large,27
Tubbs_urban_to_TL2_banana_buffer1280_1009_1300,0,Banana very large,27
Tubbs_urban_to_TL2_banana_buffer1280_1009_1400,0,Banana very large,27
Tubbs_urban_to_TL2_banana_buffer1280_1009_1500,0,Banana very large,30
Tubbs_urban_to_TL2_banana_buffer1280_1009_1600,0,Banana very large,30
Tubbs_urban_to_TL2_banana_buffer1280_1009_1700,0,Banana very large,30
Tubbs_urban_to_TL2_banana_buffer1280_1009_1800,0,Banana very large,33
Tubbs_urban_to_TL2_banana_buffer1280_1009_1900,0,Banana very large,33
Tubbs_urban_to_TL2_banana_buffer1280_1009_2000,0,Banana very large,33
Tubbs_urban_to_TL2_banana_buffer1280_1009_2100,0,Banana very large,36
Tubbs_urban_to_TL2_banana_buffer1280_1009_2200,0,Banana very large,36
Tubbs_urban_to_TL2_banana_buffer1280_1009_2300,0,Banana very large,36
Tubbs_urban_to_TL2_banana_buffer1280_1010_0000,0,Banana very large,39
Tubbs_urban_to_TL2_banana_buffer1280_1010_0100,0,Banana very large,39
Tubbs_urban_to_TL2_banana_buffer1280_1010_0200,0,Banana very large,39
Tubbs_urban_to_TL2_nb_buffer1280_1009_0600,0,NB3 very large,21
Tubbs_urban_to_TL2_nb_buffer1280_1009_0700,0,NB3 very large,21
Tubbs_urban_to_TL2_nb_buffer1280_1009_0800,0,NB3 very large,21
Tubbs_urban_to_TL2_nb_buffer1280_1009_0900,0,NB3 very large,24
Tubbs_urban_to_TL2_nb_buffer1280_1009_1000,0,NB3 very large,24
Tubbs_urban_to_TL2_nb_buffer1280_1009_1100,0,NB3 very large,24
Tubbs_urban_to_TL2_nb_buffer1280_1009_1200,0,NB3 very large,27
Tubbs_urban_to_TL2_nb_buffer1280_1009_1300,0,NB3 very large,27
Tubbs_urban_to_TL2_nb_buffer1280_1009_1400,0,NB3 very large,27
Tubbs_urban_to_TL2_nb_buffer1280_1009_1500,0,NB3 very large,30
Tubbs_urban_to_TL2_nb_buffer1280_1009_1600,0,NB3 very large,30
